"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Biomass","2215.44",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Energy storage","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Brown coal/Lignite","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Coal-derived gas","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Gas","1633.22",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Hard coal","1596.50",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Oil","700.98",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Oil shale","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Fossil Peat","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Geothermal","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Hydro Pumped Storage","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Hydro Run-of-river and pondage","N/A",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Hydro Water Reservoir","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Marine","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Nuclear","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Other","n/e",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Other renewable","N/A",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Solar","3227.98",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Waste","N/A",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Wind Offshore","2638.50",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","Wind Onshore","2999.19",""
"01/01/2025 - 01/01/2026","2025","Denmark (DK)","","","15011.81"
